Death No.,Season,Episode,Victim_Allegiance,Character_ID,Character_Name,Victim,Method,Location,Victim URL,Location_ID
569,5,9,Sons of the Harpy,CH043,Daario Naharis,Sons of the Harpy agent,Arakh,Meereen,,
570,5,9,House Targaryen,CH226,Sons of the Harpy agent,Unsullied Soldier,Knife,Meereen,,
571,5,9,Sons of the Harpy,CH043,Daario Naharis,Sons of the Harpy agent,Arakh,Meereen,,
572,5,9,Sons of the Harpy,CH044,Daenerys Targaryen,Sons of the Harpy agent,Claws (Dragon),Meereen,,
573,5,9,Sons of the Harpy,CH044,Daenerys Targaryen,Sons of the Harpy agent,Claws (Dragon),Meereen,,
574,5,9,Sons of the Harpy,CH044,Daenerys Targaryen,Sons of the Harpy agent,Teeth (Dragon),Meereen,,
575,5,9,Sons of the Harpy,CH044,Daenerys Targaryen,Sons of the Harpy agent,Dragonfire (Dragon),Meereen,,
576,5,9,Sons of the Harpy,CH044,Daenerys Targaryen,Sons of the Harpy agent,Dragonfire (Dragon),Meereen,,
577,5,9,Sons of the Harpy,CH044,Daenerys Targaryen,Sons of the Harpy agent,Dragonfire (Dragon),Meereen,,
578,5,9,Sons of the Harpy,CH044,Daenerys Targaryen,Sons of the Harpy agent,Dragonfire (Dragon),Meereen,,
579,5,9,Sons of the Harpy,CH044,Daenerys Targaryen,Sons of the Harpy agent,Dragonfire (Dragon),Meereen,,
580,5,9,Sons of the Harpy,CH044,Daenerys Targaryen,Sons of the Harpy agent,Dragonfire (Dragon),Meereen,,
581,5,9,Sons of the Harpy,CH044,Daenerys Targaryen,Sons of the Harpy agent,Dragonfire (Dragon),Meereen,,
582,5,9,Sons of the Harpy,CH044,Daenerys Targaryen,Sons of the Harpy agent,Dragonfire (Dragon),Meereen,,
583,5,9,Sons of the Harpy,CH044,Daenerys Targaryen,Sons of the Harpy agent,Dragonfire (Dragon),Meereen,,
584,5,9,Sons of the Harpy,CH044,Daenerys Targaryen,Sons of the Harpy agent,Dragonfire (Dragon),Meereen,,
585,5,9,Sons of the Harpy,CH044,Daenerys Targaryen,Sons of the Harpy agent,Dragonfire (Dragon),Meereen,,
586,5,9,Sons of the Harpy,CH044,Daenerys Targaryen,Sons of the Harpy agent,Dragonfire (Dragon),Meereen,,
587,5,9,Sons of the Harpy,CH044,Daenerys Targaryen,Sons of the Harpy agent,Dragonfire (Dragon),Meereen,,
588,5,9,Sons of the Harpy,CH044,Daenerys Targaryen,Sons of the Harpy agent,Dragonfire (Dragon),Meereen,,
589,5,9,Sons of the Harpy,CH044,Daenerys Targaryen,Sons of the Harpy agent,Teeth (Dragon),Meereen,,
590,5,9,House Targaryen,CH226,Sons of the Harpy agent,Unsullied Soldier,Sword,Meereen,,
591,5,9,Sons of the Harpy,CH106,Jorah Mormont,Sons of the Harpy agent,Sword,Meereen,,
592,5,9,Sons of the Harpy,CH043,Daario Naharis,Sons of the Harpy agent,Arakh,Meereen,,
593,5,9,Sons of the Harpy,CH043,Daario Naharis,Sons of the Harpy agent,Sword,Meereen,,
594,5,10,House Baratheon of Dragonstone,CH218,Selyse Florent,Selyse Florent,Rope,Kingsroad,,
595,5,10,House Baratheon of Dragonstone,CH030,Brienne of Tarth,Stannis Baratheon,Sword,Winterfell,,
596,5,10,House Baratheon of Dragonstone,CH194,Ramsay Bolton,Baratheon of Dragonstone soldier,Sword,Winterfell,,
597,5,10,House Baratheon of Dragonstone,CH194,Ramsay Bolton,Baratheon of Dragonstone soldier,Sword,Winterfell,,
598,5,10,House Bolton,CH199,Reek,Myranda Royce,Falling,Winterfell,,
599,5,10,House Lannister,CH008,Arya Stark,Meryn Trant,Knife,Braavos,,
600,5,10,Faceless Men,CH100,Jaqen H'ghar,Jaqen H'ghar,Poison,Braavos,,
601,5,10,House Lannister,CH060,Ellaria Sand,Myrcella,Poison,Dorne,,
602,5,10,Night's Watch,CH172,Olly,Jon Snow,Knife,Castle Black,,
603,6,1,House Bolton,CH030,Brienne of Tarth,Bolton soldier,Sword,Winterfell,,
604,6,1,House Bolton,CH030,Brienne of Tarth,Bolton soldier,Sword,Winterfell,,
605,6,1,House Bolton,CH183,Podrick Payne,Bolton soldier,Sword,Winterfell,,
606,6,1,House Bolton,CH030,Brienne of Tarth,Bolton soldier,Knife,Winterfell,,
607,6,1,House Bolton,CH199,Reek,Bolton soldier,Sword,Winterfell,,
608,6,1,House Martell,CH060,Ellaria Sand,Doran Martell,Knife,Dorne,,
609,6,1,House Martell,CH255,Tyene Sand,Areo Hotah,Knife,Dorne,,
610,6,1,House Martell,CH169,Obara Sand,Trystane Martell,Spear,King's Landing,,
611,6,2,Night's Watch,CH251,Tormund,Night's Watch brother,Sword,Castle Black,,
612,6,2,Night's Watch,CH283,Wun Wun,Night's Watch brother,Hands,Castle Black,,
613,6,2,Smallfolk,CH077,"Gregor ""The Mountain"" Clegane",Peasant,Hands,King's Landing,,
614,6,2,House Bolton,CH194,Ramsay Bolton,Roose Bolton,Knife,Winterfell,,
615,6,2,House Bolton,CH194,Ramsay Bolton,Walda Frey,Dogs,Winterfell,,
616,6,2,House Bolton,CH194,Ramsay Bolton,Bolton heir,Dogs,Winterfell,,
617,6,2,House Greyjoy,CH061,Euron Greyjoy,Balon Greyjoy,Hands,Iron Islands,,
618,6,3,House Stark,CH176,Oswell Whent,Stark Soldier,Sword,Dorne,,
619,6,3,House Targaryen,CH161,Ned Stark,Oswell Whent,Sword,Dorne,,
620,6,3,House Stark,CH007,Arthur Dayne,Stark Soldier,Sword,Dorne,,
621,6,3,House Stark,CH007,Arthur Dayne,Stark Soldier,Sword,Dorne,,
622,6,3,House Stark,CH007,Arthur Dayne,Stark Soldier,Sword,Dorne,,
623,6,3,House Targaryen,CH161,Ned Stark,Arthur Dayne,Sword,Dorne,,
624,6,3,Night's Watch,CH105,Jon Snow,Bowen Marsh,Noose,Castle Black,,
625,6,3,Night's Watch,CH105,Jon Snow,Othell Yarwyck,Noose,Castle Black,,
626,6,3,Night's Watch,CH105,Jon Snow,Alliser Thorne,Noose,Castle Black,,
627,6,3,Night's Watch,CH105,Jon Snow,Olly,Noose,Castle Black,,
628,6,4,Dothraki,CH043,Daario Naharis,Dothraki man,Hands,Vaes Dothrak,,
629,6,4,Dothraki,CH043,Daario Naharis,Dothraki man,Knife,Vaes Dothrak,,
630,6,4,House Stark,CH194,Ramsay Bolton,Osha,Knife,Winterfell,,
631,6,4,Dothraki,CH044,Daenerys Targaryen,Khal Moro,Fire,Vaes Dothrak,,
632,6,4,Dothraki,CH044,Daenerys Targaryen,Dothraki Khal,Fire,Vaes Dothrak,,
633,6,4,Dothraki,CH044,Daenerys Targaryen,Dothraki Khal,Fire,Vaes Dothrak,,
634,6,4,Dothraki,CH044,Daenerys Targaryen,Dothraki Khal,Fire,Vaes Dothrak,,
635,6,4,Dothraki,CH044,Daenerys Targaryen,Dothraki Khal,Fire,Vaes Dothrak,,
636,6,4,Dothraki,CH044,Daenerys Targaryen,Dothraki Khal,Fire,Vaes Dothrak,,
637,6,4,Dothraki,CH044,Daenerys Targaryen,Dothraki Khal,Fire,Vaes Dothrak,,
638,6,4,Dothraki,CH044,Daenerys Targaryen,Dothraki Khal,Fire,Vaes Dothrak,,
639,6,4,Dothraki,CH044,Daenerys Targaryen,Dothraki Khal,Fire,Vaes Dothrak,,
640,6,4,Dothraki,CH044,Daenerys Targaryen,Dothraki Khal,Fire,Vaes Dothrak,,
641,6,4,Dothraki,CH044,Daenerys Targaryen,Dothraki Khal,Fire,Vaes Dothrak,,
642,6,4,Dothraki,CH044,Daenerys Targaryen,Dothraki Khal,Fire,Vaes Dothrak,,
643,6,4,Dothraki,CH044,Daenerys Targaryen,Dothraki Khal,Fire,Vaes Dothrak,,
644,6,4,Dothraki,CH044,Daenerys Targaryen,Dothraki Khal,Fire,Vaes Dothrak,,
645,6,4,Dothraki,CH044,Daenerys Targaryen,Dothraki Khal,Fire,Vaes Dothrak,,
646,6,5,Children of the Forest,CH277,Wight,Child of the Forest,Axe,Beyond the Wall,,
647,6,5,Children of the Forest,CH277,Wight,Child of the Forest,Teeth,Beyond the Wall,,
648,6,5,Children of the Forest,CH277,Wight,Child of the Forest,Sword,Beyond the Wall,,
649,6,5,Children of the Forest,CH276,White Walker,Child of the Forest,Sword,Beyond the Wall,,
650,6,5,House Stark,CH277,Wight,Summer,Sword,Beyond the Wall,,
651,6,5,Children of the Forest,CH276,White Walker,Three-eyed Raven,Sword,Beyond the Wall,,
652,6,5,Children of the Forest,CH277,Wight,Leaf,Sword,Beyond the Wall,,
653,6,5,House Stark,CH277,Wight,Hodor,Hands,Beyond the Wall,,
654,6,7,Faith of the Seven,CH125,Lem Lemoncloak,Brother Ray,Noose,Riverlands,,
655,6,8,Brotherhood Without Banners,CH215,"Sandor ""The Hound"" Clegane",Brotherhood Without Banners Member,Axe,Riverlands,,
656,6,8,Brotherhood Without Banners,CH215,"Sandor ""The Hound"" Clegane",Brotherhood Without Banners Member,Axe,Riverlands,,
657,6,8,Brotherhood Without Banners,CH215,"Sandor ""The Hound"" Clegane",Brotherhood Without Banners Member,Axe,Riverlands,,
658,6,8,Brotherhood Without Banners,CH215,"Sandor ""The Hound"" Clegane",Brotherhood Without Banners Member,Axe,Riverlands,,
659,6,8,Faith Militant,CH077,"Gregor ""The Mountain"" Clegane",Faith Militant Brother,Hands,King's Landing,,
660,6,8,Brotherhood Without Banners,CH215,"Sandor ""The Hound"" Clegane",Brotherhood Without Banners Member,Noose,Riverlands,,
661,6,8,Brotherhood Without Banners,CH022,Beric Dondarrion,Lem Lemoncloak,Noose,Riverlands,,
662,6,8,Brotherhood Without Banners,CH215,"Sandor ""The Hound"" Clegane",Brotherhood Without Banners Member,Noose,Riverlands,,
663,6,9,None,CH241,The Masters Soldier,Meereen citizen,Catapult,Meereen,,
664,6,9,None,CH241,The Masters Soldier,Meereen citizen,Catapult,Meereen,,
665,6,9,None,CH241,The Masters Soldier,Meereen citizen,Catapult,Meereen,,
666,6,9,None,CH226,Sons of the Harpy agent,Meereen citizen,Sword,Meereen,,
667,6,9,None,CH226,Sons of the Harpy agent,Meereen citizen,Sword,Meereen,,
668,6,9,None,CH226,Sons of the Harpy agent,Meereen citizen,Sword,Meereen,,
669,6,9,None,CH226,Sons of the Harpy agent,Meereen citizen,Sword,Meereen,,
670,6,9,None,CH226,Sons of the Harpy agent,Meereen citizen,Sword,Meereen,,
671,6,9,None,CH226,Sons of the Harpy agent,Meereen citizen,Sword,Meereen,,
672,6,9,None,CH226,Sons of the Harpy agent,Meereen citizen,Sword,Meereen,,
673,6,9,None,CH226,Sons of the Harpy agent,Meereen citizen,Sword,Meereen,,
674,6,9,None,CH226,Sons of the Harpy agent,Meereen citizen,Sword,Meereen,,
675,6,9,None,CH226,Sons of the Harpy agent,Meereen citizen,Sword,Meereen,,
676,6,9,None,CH226,Sons of the Harpy agent,Meereen citizen,Sword,Meereen,,
677,6,9,Sons of the Harpy,CH043,Daario Naharis,Sons of the Harpy agent,Arakh,Meereen,,
678,6,9,The Masters,CH044,Daenerys Targaryen,The Masters Soldier,Dragonfire (Dragon),Meereen,,
679,6,9,The Masters,CH044,Daenerys Targaryen,The Masters Soldier,Dragonfire (Dragon),Meereen,,
680,6,9,The Masters,CH044,Daenerys Targaryen,The Masters Soldier,Dragonfire (Dragon),Meereen,,
681,6,9,The Masters,CH044,Daenerys Targaryen,The Masters Soldier,Dragonfire (Dragon),Meereen,,
682,6,9,The Masters,CH044,Daenerys Targaryen,The Masters Soldier,Dragonfire (Dragon),Meereen,,
683,6,9,The Masters,CH044,Daenerys Targaryen,The Masters Soldier,Dragonfire (Dragon),Meereen,,
684,6,9,The Masters,CH044,Daenerys Targaryen,The Masters Soldier,Dragonfire (Dragon),Meereen,,
685,6,9,The Masters,CH044,Daenerys Targaryen,The Masters Soldier,Dragonfire (Dragon),Meereen,,
686,6,9,The Masters,CH044,Daenerys Targaryen,The Masters Soldier,Dragonfire (Dragon),Meereen,,
687,6,9,The Masters,CH044,Daenerys Targaryen,The Masters Soldier,Dragonfire (Dragon),Meereen,,
688,6,9,The Masters,CH044,Daenerys Targaryen,The Masters Soldier,Dragonfire (Dragon),Meereen,,
689,6,9,The Masters,CH044,Daenerys Targaryen,The Masters Soldier,Dragonfire (Dragon),Meereen,,
690,6,9,The Masters,CH080,Grey Worm,Belicho Paenymion,Knife,Meereen,,
691,6,9,The Masters,CH080,Grey Worm,Razdal mo Eraz,Knife,Meereen,,
692,6,9,House Stark,CH194,Ramsay Bolton,Rickon Stark,Arrow,Winterfell,,
693,6,9,House Bolton,CH230,Stark Soldier,Bolton soldier,Spear,Winterfell,,
694,6,9,House Stark,CH028,Bolton soldier,Stark Soldier,Spear,Winterfell,,
695,6,9,House Stark,CH028,Bolton soldier,Stark Soldier,Sword,Winterfell,,
696,6,9,House Bolton,CH028,Bolton soldier,Bolton soldier,Arrow,Winterfell,,
697,6,9,House Stark,CH028,Bolton soldier,Stark Soldier,Arrow,Winterfell,,
698,6,9,House Bolton,CH028,Bolton soldier,Bolton soldier,Arrow,Winterfell,,
699,6,9,House Bolton,CH105,Jon Snow,Bolton soldier,Sword,Winterfell,,
700,6,9,House Bolton,CH105,Jon Snow,Bolton soldier,Sword,Winterfell,,
701,6,9,House Stark,CH028,Bolton soldier,Stark Soldier,Arrow,Winterfell,,
702,6,9,House Stark,CH028,Bolton soldier,Stark Soldier,Arrow,Winterfell,,
703,6,9,House Stark,CH028,Bolton soldier,Stark Soldier,Arrow,Winterfell,,
704,6,9,House Bolton,CH105,Jon Snow,Bolton soldier,Sword,Winterfell,,
705,6,9,House Bolton,CH105,Jon Snow,Bolton soldier,Sword,Winterfell,,
706,6,9,House Stark,CH028,Bolton soldier,Stark Soldier,Arrow,Winterfell,,
707,6,9,House Bolton,CH105,Jon Snow,Bolton soldier,Sword,Winterfell,,
708,6,9,House Stark,CH028,Bolton soldier,Stark Soldier,Arrow,Winterfell,,
709,6,9,House Bolton,CH105,Jon Snow,Bolton soldier,Sword,Winterfell,,
710,6,9,House Bolton,CH105,Jon Snow,Bolton soldier,Sword,Winterfell,,
711,6,9,House Stark,CH028,Bolton soldier,Stark Soldier,Arrow,Winterfell,,
712,6,9,House Bolton,CH230,Stark Soldier,Bolton soldier,Spear,Winterfell,,
713,6,9,House Stark,CH028,Bolton soldier,Stark Soldier,Arrow,Winterfell,,
714,6,9,House Stark,CH028,Bolton soldier,Stark Soldier,Arrow,Winterfell,,
715,6,9,House Stark,CH028,Bolton soldier,Stark Soldier,Arrow,Winterfell,,
716,6,9,House Stark,CH028,Bolton soldier,Stark Soldier,Arrow,Winterfell,,
717,6,9,House Stark,CH028,Bolton soldier,Stark Soldier,Arrow,Winterfell,,
718,6,9,House Stark,CH028,Bolton soldier,Stark Soldier,Arrow,Winterfell,,
719,6,9,House Stark,CH028,Bolton soldier,Stark Soldier,Arrow,Winterfell,,
720,6,9,House Bolton,CH105,Jon Snow,Bolton soldier,Sword,Winterfell,,
721,6,9,House Bolton,CH105,Jon Snow,Bolton soldier,Sword,Winterfell,,
722,6,9,House Bolton,CH105,Jon Snow,Bolton soldier,Sword,Winterfell,,
723,6,9,House Stark,CH028,Bolton soldier,Stark Soldier,Arrow,Winterfell,,
724,6,9,House Stark,CH028,Bolton soldier,Stark Soldier,Arrow,Winterfell,,
725,6,9,House Stark,CH028,Bolton soldier,Stark Soldier,Arrow,Winterfell,,
726,6,9,House Stark,CH028,Bolton soldier,Stark Soldier,Arrow,Winterfell,,
727,6,9,House Stark,CH028,Bolton soldier,Stark Soldier,Arrow,Winterfell,,
728,6,9,House Bolton,CH230,Stark Soldier,Bolton soldier,Sword,Winterfell,,
729,6,9,House Stark,CH028,Bolton soldier,Stark Soldier,Arrow,Winterfell,,
730,6,9,House Stark,CH028,Bolton soldier,Stark Soldier,Arrow,Winterfell,,
731,6,9,House Stark,CH028,Bolton soldier,Stark Soldier,Arrow,Winterfell,,
732,6,9,House Stark,CH028,Bolton soldier,Stark Soldier,Arrow,Winterfell,,
733,6,9,House Stark,CH028,Bolton soldier,Stark Soldier,Arrow,Winterfell,,
734,6,9,House Bolton,CH105,Jon Snow,Bolton soldier,Sword,Winterfell,,
735,6,9,House Bolton,CH105,Jon Snow,Bolton soldier,Sword,Winterfell,,
736,6,9,House Bolton,CH105,Jon Snow,Bolton soldier,Sword,Winterfell,,
737,6,9,House Stark,CH028,Bolton soldier,Stark Soldier,Sword,Winterfell,,
738,6,9,House Bolton,CH105,Jon Snow,Bolton soldier,Sword,Winterfell,,
739,6,9,House Stark,CH028,Bolton soldier,Stark Soldier,Sword,Winterfell,,
740,6,9,House Bolton,CH105,Jon Snow,Bolton soldier,Sword,Winterfell,,
741,6,9,House Stark,CH028,Bolton soldier,Stark Soldier,Sword,Winterfell,,
742,6,9,House Bolton,CH105,Jon Snow,Bolton soldier,Sword,Winterfell,,
743,6,9,House Bolton,CH251,Tormund,Bolton soldier,Sword,Winterfell,,
744,6,9,Free Folk,CH028,Bolton soldier,Wildling,Spear,Winterfell,,
745,6,9,Free Folk,CH028,Bolton soldier,Wildling,Spear,Winterfell,,
746,6,9,Free Folk,CH028,Bolton soldier,Wildling,Spear,Winterfell,,
747,6,9,Free Folk,CH028,Bolton soldier,Wildling,Spear,Winterfell,,
748,6,9,House Stark,CH224,Smalljon Umber,Stark Soldier,Sword,Winterfell,,
749,6,9,House Stark,CH258,Umber Soldier,Stark Soldier,Sword,Winterfell,,
750,6,9,House Bolton,CH105,Jon Snow,Bolton soldier,Sword,Winterfell,,
751,6,9,House Bolton,CH283,Wun Wun,Bolton soldier,Hands,Winterfell,,
752,6,9,House Bolton,CH251,Tormund,Bolton soldier,Sword,Winterfell,,
753,6,9,House Bolton,CH105,Jon Snow,Bolton soldier,Sword,Winterfell,,
754,6,9,House Stark,CH224,Smalljon Umber,Stark Soldier,Sword,Winterfell,,
755,6,9,House Stark,CH224,Smalljon Umber,Stark Soldier,Sword,Winterfell,,
756,6,9,House Stark,CH028,Bolton soldier,Stark Soldier,Sword,Winterfell,,
757,6,9,House Bolton,CH230,Stark Soldier,Bolton soldier,Sword,Winterfell,,
758,6,9,House Bolton,CH278,Wildling,Bolton soldier,Sword,Winterfell,,
759,6,9,House Stark,CH224,Smalljon Umber,Stark Soldier,Sword,Winterfell,,
760,6,9,House Bolton,CH105,Jon Snow,Bolton soldier,Sword,Winterfell,,
761,6,9,House Bolton,CH283,Wun Wun,Bolton soldier,Hands,Winterfell,,
762,6,9,Free Folk,CH028,Bolton soldier,Wildling,Spear,Winterfell,,
763,6,9,Free Folk,CH028,Bolton soldier,Wildling,Spear,Winterfell,,
764,6,9,Free Folk,CH028,Bolton soldier,Wildling,Sword,Winterfell,,
765,6,9,House Bolton,CH251,Tormund,Bolton soldier,Sword,Winterfell,,
766,6,9,House Stark,CH258,Umber Soldier,Stark Soldier,Sword,Winterfell,,
767,6,9,Free Folk,CH028,Bolton soldier,Wildling,Spear,Winterfell,,
768,6,9,Free Folk,CH028,Bolton soldier,Wildling,Spear,Winterfell,,
769,6,9,Free Folk,CH028,Bolton soldier,Wildling,Spear,Winterfell,,
770,6,9,House Stark,CH224,Smalljon Umber,Stark Soldier,Sword,Winterfell,,
771,6,9,House Bolton,CH105,Jon Snow,Bolton soldier,Sword,Winterfell,,
772,6,9,House Umber,CH251,Tormund,Smalljon Umber,Knife,Winterfell,,
773,6,9,House Bolton,CH118,Knights of the Vale,Bolton soldier,Sword,Winterfell,,
774,6,9,House Bolton,CH118,Knights of the Vale,Bolton soldier,Sword,Winterfell,,
775,6,9,House Bolton,CH118,Knights of the Vale,Bolton soldier,Sword,Winterfell,,
776,6,9,House Bolton,CH118,Knights of the Vale,Bolton soldier,Sword,Winterfell,,
777,6,9,House Stark,CH028,Bolton soldier,Stark Soldier,Arrow,Winterfell,,
778,6,9,House Bolton,CH230,Stark Soldier,Bolton soldier,Arrow,Winterfell,,
779,6,9,House Stark,CH028,Bolton soldier,Stark Soldier,Arrow,Winterfell,,
780,6,9,House Stark,CH028,Bolton soldier,Stark Soldier,Arrow,Winterfell,,
781,6,9,House Stark,CH028,Bolton soldier,Stark Soldier,Arrow,Winterfell,,
782,6,9,House Bolton,CH230,Stark Soldier,Bolton soldier,Arrow,Winterfell,,
783,6,9,Free Folk,CH028,Bolton soldier,Wildling,Arrow,Winterfell,,
784,6,9,House Bolton,CH230,Stark Soldier,Bolton soldier,Arrow,Winterfell,,
785,6,9,House Bolton,CH230,Stark Soldier,Bolton soldier,Arrow,Winterfell,,
786,6,9,House Bolton,CH230,Stark Soldier,Bolton soldier,Arrow,Winterfell,,
787,6,9,House Bolton,CH230,Stark Soldier,Bolton soldier,Arrow,Winterfell,,
788,6,9,House Bolton,CH230,Stark Soldier,Bolton soldier,Arrow,Winterfell,,
789,6,9,House Bolton,CH230,Stark Soldier,Bolton soldier,Arrow,Winterfell,,
790,6,9,House Bolton,CH230,Stark Soldier,Bolton soldier,Arrow,Winterfell,,
791,6,9,House Bolton,CH230,Stark Soldier,Bolton soldier,Arrow,Winterfell,,
792,6,9,House Bolton,CH230,Stark Soldier,Bolton soldier,Arrow,Winterfell,,
793,6,9,House Bolton,CH278,Wildling,Bolton soldier,Hands,Winterfell,,
794,6,9,Free Folk,CH194,Ramsay Bolton,Wun Wun,Arrow,Winterfell,,
795,6,9,House Bolton,CH026,Hound,Ramsay Bolton,Teeth,Winterfell,,
796,6,10,Order of Maesters,CH126,Little Birds,Grand Maester Pycelle,Knife,King's Landing,,
797,6,10,Faith Militant,CH036,Cersei Lannister,Lancel Lannister,Wildfire,King's Landing,,
798,6,10,Faith Militant,CH036,Cersei Lannister,High Sparrow,Wildfire,King's Landing,,
799,6,10,None,CH036,Cersei Lannister,King's Landing Noble,Wildfire,King's Landing,,
800,6,10,None,CH036,Cersei Lannister,King's Landing Noble,Wildfire,King's Landing,,
801,6,10,None,CH036,Cersei Lannister,King's Landing Noble,Wildfire,King's Landing,,
802,6,10,None,CH036,Cersei Lannister,King's Landing Noble,Wildfire,King's Landing,,
803,6,10,None,CH036,Cersei Lannister,King's Landing Noble,Wildfire,King's Landing,,
804,6,10,None,CH036,Cersei Lannister,King's Landing Noble,Wildfire,King's Landing,,
805,6,10,None,CH036,Cersei Lannister,King's Landing Noble,Wildfire,King's Landing,,
806,6,10,None,CH036,Cersei Lannister,King's Landing Noble,Wildfire,King's Landing,,
807,6,10,None,CH036,Cersei Lannister,King's Landing Noble,Wildfire,King's Landing,,
808,6,10,None,CH036,Cersei Lannister,King's Landing Noble,Wildfire,King's Landing,,
809,6,10,None,CH036,Cersei Lannister,King's Landing Noble,Wildfire,King's Landing,,
810,6,10,None,CH036,Cersei Lannister,King's Landing Noble,Wildfire,King's Landing,,
811,6,10,None,CH036,Cersei Lannister,King's Landing Noble,Wildfire,King's Landing,,
812,6,10,None,CH036,Cersei Lannister,King's Landing Noble,Wildfire,King's Landing,,
813,6,10,None,CH036,Cersei Lannister,King's Landing Noble,Wildfire,King's Landing,,
814,6,10,None,CH036,Cersei Lannister,King's Landing Noble,Wildfire,King's Landing,,
815,6,10,None,CH036,Cersei Lannister,King's Landing Noble,Wildfire,King's Landing,,
816,6,10,Smallfolk,CH036,Cersei Lannister,Peasant,Wildfire,King's Landing,,
817,6,10,Smallfolk,CH036,Cersei Lannister,Peasant,Wildfire,King's Landing,,
818,6,10,Smallfolk,CH036,Cersei Lannister,Peasant,Bell,King's Landing,,
819,6,10,Smallfolk,CH036,Cersei Lannister,Peasant,Wildfire,King's Landing,,
820,6,10,Smallfolk,CH036,Cersei Lannister,Peasant,Wildfire,King's Landing,,
821,6,10,Faith Militant,CH036,Cersei Lannister,Faith Militant Brother,Wildfire,King's Landing,,
822,6,10,Faith Militant,CH036,Cersei Lannister,Faith Militant Brother,Wildfire,King's Landing,,
823,6,10,Faith Militant,CH036,Cersei Lannister,Faith Militant Brother,Wildfire,King's Landing,,
824,6,10,Faith Militant,CH036,Cersei Lannister,Faith Militant Brother,Wildfire,King's Landing,,
825,6,10,Faith Militant,CH036,Cersei Lannister,Faith Militant Brother,Wildfire,King's Landing,,
826,6,10,Faith Militant,CH036,Cersei Lannister,Faith Militant Brother,Wildfire,King's Landing,,
827,6,10,Faith Militant,CH036,Cersei Lannister,Faith Militant Brother,Wildfire,King's Landing,,
828,6,10,Faith Militant,CH036,Cersei Lannister,Faith Militant Brother,Wildfire,King's Landing,,
829,6,10,Faith Militant,CH036,Cersei Lannister,Faith Militant Brother,Wildfire,King's Landing,,
830,6,10,Faith Militant,CH036,Cersei Lannister,Faith Militant Brother,Wildfire,King's Landing,,
831,6,10,Faith Militant,CH036,Cersei Lannister,Faith Militant Brother,Wildfire,King's Landing,,
832,6,10,Faith Militant,CH036,Cersei Lannister,Faith Militant Brother,Wildfire,King's Landing,,
833,6,10,Faith Militant,CH036,Cersei Lannister,Faith Militant Brother,Wildfire,King's Landing,,
834,6,10,Faith Militant,CH036,Cersei Lannister,Faith Militant Brother,Wildfire,King's Landing,,
835,6,10,Faith Militant,CH036,Cersei Lannister,Faith Militant Brother,Wildfire,King's Landing,,
836,6,10,Faith Militant,CH036,Cersei Lannister,Faith Militant Brother,Wildfire,King's Landing,,
837,6,10,Faith Militant,CH036,Cersei Lannister,Faith Militant Brother,Wildfire,King's Landing,,
838,6,10,Faith Militant,CH036,Cersei Lannister,Faith Militant Brother,Wildfire,King's Landing,,
839,6,10,Faith Militant,CH036,Cersei Lannister,Faith Militant Brother,Wildfire,King's Landing,,
840,6,10,Faith Militant,CH036,Cersei Lannister,Faith Militant Brother,Wildfire,King's Landing,,
841,6,10,Faith Militant,CH036,Cersei Lannister,Faith Militant Brother,Wildfire,King's Landing,,
842,6,10,Faith Militant,CH036,Cersei Lannister,Faith Militant Brother,Wildfire,King's Landing,,
843,6,10,Faith Militant,CH036,Cersei Lannister,Faith Militant Brother,Wildfire,King's Landing,,
844,6,10,Faith Militant,CH036,Cersei Lannister,Faith Militant Brother,Wildfire,King's Landing,,
845,6,10,Faith Militant,CH036,Cersei Lannister,Faith Militant Brother,Wildfire,King's Landing,,
846,6,10,Faith Militant,CH036,Cersei Lannister,Faith Militant Brother,Wildfire,King's Landing,,
847,6,10,Faith Militant,CH036,Cersei Lannister,Faith Militant Brother,Wildfire,King's Landing,,
848,6,10,Faith Militant,CH036,Cersei Lannister,Faith Militant Brother,Wildfire,King's Landing,,
849,6,10,Faith Militant,CH036,Cersei Lannister,Faith Militant Brother,Wildfire,King's Landing,,
850,6,10,Faith Militant,CH036,Cersei Lannister,Faith Militant Brother,Wildfire,King's Landing,,
851,6,10,Faith Militant,CH036,Cersei Lannister,Faith Militant Brother,Wildfire,King's Landing,,
852,6,10,Faith Militant,CH036,Cersei Lannister,Faith Militant Brother,Wildfire,King's Landing,,
853,6,10,Faith Militant,CH036,Cersei Lannister,Faith Militant Brother,Wildfire,King's Landing,,
854,6,10,Faith Militant,CH036,Cersei Lannister,Faith Militant Brother,Wildfire,King's Landing,,
855,6,10,Faith Militant,CH036,Cersei Lannister,Faith Militant Brother,Wildfire,King's Landing,,
856,6,10,Faith Militant,CH036,Cersei Lannister,Faith Militant Brother,Wildfire,King's Landing,,
857,6,10,Faith Militant,CH036,Cersei Lannister,Faith Militant Brother,Wildfire,King's Landing,,
858,6,10,Faith Militant,CH036,Cersei Lannister,Faith Militant Brother,Wildfire,King's Landing,,
859,6,10,Faith Militant,CH036,Cersei Lannister,Faith Militant Brother,Wildfire,King's Landing,,
860,6,10,Faith Militant,CH036,Cersei Lannister,Faith Militant Brother,Wildfire,King's Landing,,
861,6,10,Faith Militant,CH036,Cersei Lannister,Faith Militant Brother,Wildfire,King's Landing,,
