Character_ID,Character_Name,Species,House,Parents,Siblings,Spouse,Children,Status,Weapon of Choice,Place of Death,Notable Kills,Lore,ImageURL,House_URL
CH078,Grenn,Human,Night's Watch,Not Available,Not Available,Not Available,Not Available,Dead,Sword or dragonglass,Castle Black,Not Available,"A simple man of the Night’s Watch, Grenn held no titles and claimed no glory. But when the gate beneath the Wall was threatened by a giant, Grenn and a handful of brothers stood their ground.
They held the tunnel with oaths on their lips and fear in their eyes. They died where they stood, as true men of the Night’s Watch.
No songs bear his name—but the Wall still stands because of it.",,
CH079,Grey Wind,Direwolf,House Stark,Not Available,"Ghost, Lady, Nymeria, Summer, and Shaggydog",Not Available,Not Available,Dead,Teeth and claws,The Twins,Not Available,"Robb Stark’s direwolf, swift and savage, born of snow and fate.
Grey Wind led charges into battle, faster than arrows, crueler than steel.
He was more than a beast—he was the young wolf’s shadow, his fury made fang.
At the Red Wedding, he was caged like a dog and slain like a traitor.
His head was sewn to Robb’s corpse in mockery. But in the North, they say Grey Wind still howls when justice is near.",,
CH080,Grey Worm,Human,Unsullied,Not Available,Not Available,Not Available,Not Available,Alive,Spear,Still Alive,Not Available,"Commander of the Unsullied, a blade honed from childhood, emotion stripped, identity erased.
Grey Worm served Daenerys with unwavering discipline, fighting for a queen who gave him purpose and love.
He knew loss in silence and love in shadow, sharing rare warmth with Missandei amidst the cruelty of war.
When Daenerys fell, he did not flinch. He became her justice, her sword beyond death.
He sailed to Naath, not for peace—but perhaps for the promise of it.",,
CH081,House Greyjoy Soldier,Human,House House Greyjoy,Not Available,Not Available,Not Available,Not Available,Not Available,Axe or sword,Iron Islands,Not Available,"Reavers, raiders, salt-soaked shadows of the sea. The soldiers of House House Greyjoy knew no mercy and sought no land—they took what was not given.
They drowned to be reborn, feared neither gods nor kings.
Whether under Balon or Euron, they sailed in black silence to plunder, burn, and vanish.
Few survived the wars of Westeros, and fewer still learned any path but that of the axe.",,
CH083,Guymon,Human,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"A nameless casualty swept up in the politics of power. Little is recorded of his life, save that he died a pawn in a much larger game.",,
CH084,Harry Strickland,Human,House Strickland,Not Available,Not Available,Not Available,Not Available,Dead,Not Available,King's Landing,Not Available,"Commander of the Golden Company, a man of poise and reputation rather than ferocity. His dreams of conquest ended as quickly as they began on the shores of Westeros.",,
CH085,High Septon,Human,Faith of the Seven,Not Available,Not Available,Not Available,Not Available,Dead,Not Available,"Sept of Baelor, King's Landing",Not Available,"A man cloaked in ceremony and jewels, he once represented the gods' voice in the Red Keep. Politics, not piety, shaped his sermons, and when power shifted, he was swept aside.",,
CH086,High Sparrow,Human,Not Available,Not Available,Not Available,Not Available,Not Available,Dead,Not Available,"Sept of Baelor, King's Landing",Not Available,"A zealot in rags who rose to become the voice of the Faith Militant. He cleansed the realm with fire and judgment, toppling queens and lords alike, before wildfire claimed his holy reign.",,
CH087,Hill tribesman,Human,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Crude weapons,King's Landing,Not Available,"Clad in furs and iron rings, the mountain clans of the Vale spoke with blades, not banners.
They answered to no lords until Tyrion Lannister bought their loyalty with promises of blood and gold.
They marched into cities they had only heard of in curses, laying waste like wolves among sheep.
And when the wars ended, they melted back into the mountains, laughing at the softness of the south.",,
CH088,Hizdahr zo Loraq,Human,House zo Loraq,Not Available,Not Available,Daenerys Targaryen,None,Dead,Not Available,Meereen,Not Available,"A noble of Meereen caught between tradition and revolution. He played courtly games with Daenerys, seeking peace while hiding rebellion. The arena would be his end.",,
CH089,Hodor,Human,House Stark,A Cow and a Sheep,Not Available,None,None,Dead,Worg,"Cave of the Three-Eyed Raven, Beyond the Wall",Not Available,"Hodor.
A gentle giant with the strength of ten men and the mind of a child. Once named Wylis, his fate was written before his body could bear it.
He carried Bran Stark through snow and shadow, never questioning, never fearing.
When the dead came, he held the door. And in that act, all the pain, the confusion, the burden of years found its purpose.
Hodor. The boy who bore the future on his back—and died saving it.",,
CH090,Bran Stark,Human,House Stark,Eddard Stark and Catelyn Stark,"Robb Stark, Sansa Stark, Arya Stark, and Rickon Stark​",None,None,Alive,Sitting down,Not Available (Alive at end of series),Not Available,"He fell from a tower and rose as something more. Brandon Stark, once a boy who dreamed of knights, became a vessel for ancient power.
He walked through wolves, flew through ravens, and witnessed the birth of legends.
As the Three-Eyed Raven, he saw past, present, and future—not as memories, but as truths.
Detached from grief, above fear, he watched as the world turned. And when the ashes cooled, it was Bran who became king—not to rule, but to remember.
For in memory lies the fate of men.",,
CH091,Horse,Horse,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Various Locations,Not Available,"A nameless beast of burden or battle. Loyal, swift, and doomed to fall in service to men who ride to war.",,
CH092,Horse breeder,Human,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Meereen,Not Available,"A craftsman of hoof and hide, raising steeds for nobility and warlords alike. His legacy rode across continents, though history remembers only the ones who died upon their mounts.",,
CH093,Hoster Tully,Human,House Tully,Not Available,Brynden Tully,Minisa Whent,"Catelyn, Lysa, Edmure",Dead,Not Available,Riverrun,Not Available,"Lord of Riverrun and staunch supporter of the old ways. A man of honor, family, and quiet regrets, who helped forge the Stark-Tully bond through marriage. His death marked the fading of an older generation.",,
CH094,Ilyn Payne,Human,House Payne,Not Available,Not Available,Not Available,None,Fate unconfirmed,Executioners Sword,Not Available (Fate left unclear),Not Available,"The King’s Justice, silent executioner of House Lannister. His tongue removed for offending the Mad King, Ilyn Payne spoke only through steel.
He beheaded Eddard Stark before the eyes of a kingdom, and his presence became a grim omen at court.
He carried out justice without word, remorse, or question.
When the war turned, he faded from view—but his shadow lingered over the Iron Throne like the fall of an axe.",,
CH095,Irri,Human,Not Available,Not Available,Not Available,None,None,Dead,Not Available,Lost at Sea,Not Available,"Handmaid and loyal follower of Daenerys Targaryen, she bore witness to dragons' birth and the fall of cities. Her quiet strength served her queen to the bitter end.",,
CH096,Jack,Human,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"A minor figure lost to the chaos of civil war. His fate, like many, was to die unnamed and uncelebrated.",,
CH097,Jafer Flowers,Human,Not Available,Not Available,Not Available,Not Available,Not Available,Dead,Not Available,Beyond the Wall,Not Available,"A ranger of the Night's Watch, loyal to the black and the realm. He perished Beyond the Wall, another fallen brother claimed by the cold and the dead.",,
CH098,Jaime Lannister,Human,House Lannister,Tywin Lannister,"Cersei Lannister, Tyrion Lannister",None,"Joffrey, Myrcella, Tommen (with Cersei)",Dead,"Sword, Incest","Red Keep, King's Landing","King Aerys II Targaryen (The Mad King), Alton Lannister","Kingslayer. Oathbreaker. Lion of Lannister. Jaime’s name was spoken in equal parts awe and scorn.
He killed the Mad King to save a city, and was cursed for it. He loved his sister with fire and shame. He served with brilliance, fought with fury, and lost more than most.
When his sword hand was taken, so too was his arrogance. What remained was something closer to a man.
He rode north to fight for the living, then rode south for love—knowing it would kill him.
In the end, he died in his sister’s arms, not as a lion, not as a knight, but as a man flawed and faithful to the last.",,
CH099,Janos Slynt,Human,House Slynt,Not Available,Not Available,Not Available,None mentioned,Dead,Politics,Castle Black,Not Available,"Once a butcher’s son, Janos Slynt climbed the greasy pole to become Commander of the City Watch of King’s Landing. He sold loyalty like meat—cheap and bloody.
He betrayed Ned Stark at the steps of Baelor’s Sept, earning a knighthood and a seat in the court of vipers. But rats do not fare well in storms.
When the tide turned, he was cast to the Wall, stripped of title and favor. There he found no gold, only cold.
When Jon Snow asked for his loyalty, Slynt cowered. And for that cowardice, he knelt—headless, remembered not for power, but for disgrace.",,
CH100,Jaqen H'ghar,Human,Not Available,Not Available,Not Available,None,None,Alive,Stealth,"Not Available (Alive, fate ambiguous)",Not Available,"A man has many faces. A man has many names. Jaqen H’ghar was one such name, whispered like a riddle and forgotten like a dream.
He came from the black cells, bound for death, yet walked free by fire and fate.
At the House of Black and White, he served the Many-Faced God, killing without mercy and without ego.
To Arya Stark, he was teacher, tormentor, mirror. To the world, he was a whisper in the dark, a knife behind a smile.
Perhaps he never existed at all.",,
CH101,Jeor Mormont,Human,House Mormont,Not Available,Maege Mormont,None,Jorah Mormont,Dead,Not Available,"Craster's Keep, Beyond the Wall",Not Available,"The Old Bear, Lord Commander of the Night's Watch. Fierce and fatherly, he led the Watch into the unknown and gave his life for honor and truth.",,
CH102,Joffrey Baratheon,Human,House Baratheon,Cersei Lannister and Jaime Lannister,Myrcella Baratheon and Tommen Baratheon,Not Available,None,Dead,Crossbow,"Red Keep, King's Landing",Not Available,"Born of incest and crowned in lies, Joffrey Baratheon ruled with a golden sneer and an iron fist.
He was cruelty wrapped in silk, a child with a crown and no conscience. He slew whores for sport, mocked the noble, and ruled by whim.
He had his betrothed’s father slain, his people starved, and his enemies flayed—until the wine turned bitter.
At his wedding feast, he choked and died before the realm he terrorized, purple-faced and gasping.
And not a soul wept without relief.",,
CH103,Jojen Reed,Human,House Reed,Howland Reed,Meera Reed,None,None,Dead,Not Available,"Cave of the Three-Eyed Raven, Beyond the Wall",Not Available,"A greenseer with visions of what must be. Young, wise beyond his years, and guided by dreams, he walked the path of destiny to guide the future of Westeros, sacrificing himself without hesitation.",,
CH104,Jon Arryn,Human,House Arryn,Not Available,Not Available,Lysa Tully,Robert Arryn,Dead,Not Available,"Red Keep, King's Landing",Not Available,"The Hand whose death set the game into motion. Stalwart and just, he raised Ned Stark and Robert Baratheon like sons. Poison silenced him, but his absence echoed through the realm.",,
CH105,Jon Snow,Human,House Stark,"Rhaegar Targaryen, Lyanna Stark",Aegon Targaryen (half-brother)​,None,None,Alive..,"Longclaw, Valyrian steel sword",Castle Black,"Qhorin Halfhand, Karl Tanner","Bastard of Winterfell, raised in shadow, Jon Snow was born without a name but bore the weight of the realm.
He took the black and gave his life to it—dying once, and rising again. He fought wildlings, White Walkers, and his own brothers.
He loved and lost, rose and fell, and slew the queen he once called savior.
In the end, he was not king, not lord, not even remembered.
He was the sword in the darkness, the watcher on the Wall. And when the wheel turned, he chose exile over power—just as the last hero always does.",,
CH106,Jorah Mormont,Human,House Mormont,Jeor Mormont,None,None,None,Dead,Sword,Winterfell,Sons of Harpy,"Exiled for selling men, Jorah sought gold and honor in foreign lands but found only shame and a queen to serve.
He loved Daenerys with silent devotion, shielding her with sword and body, even when she cast him aside.
He fought with greyscale on his flesh and love in his blood. And when the dead came, he died as he had lived—defending the one flame that lit his world.
She forgave him in death. And in that, he found peace.",,
CH107,Jory Cassel,Human,House Mormont,Not Available,Not Available,Not Available,None,Dead,Sword,King's Landing,Not Available,"Captain of the Stark guard, loyal to the end. Jory served Lord Eddard Stark with steel and silence, a shadow of duty beside a noble man.
He fought against Lannister blades in the streets of King’s Landing, defiant and fearless.
But no courage could match the Mountain's brother. Jaime Lannister stabbed him through the eye—a swift death, undeserved.
His name was forgotten by many. But Winterfell remembered.",,
CH108,Joyeuse Frey,Human,House Erenford,Not Available,Not Available,Walder Frey,Not Available,Dead,Not Available,The Twins,Not Available,"Another Frey bound in alliances and weddings, whose name became lost in the river of betrayal. Her fate, like many Freys, was overshadowed by the Red Wedding's stain.",,
CH109,Karl Tanner,Human,Not Available,Not Available,Not Available,None,None,Dead,Daggers and Stealth,Craster's Keep,Craster,"From Flea Bottom to the Wall, Karl Tanner was scum risen to the surface.
A mutineer, a butcher, a leech feeding on weaker men. At Craster’s Keep, he drank from skulls and called himself king.
He slit throats in the dark and ruled with blood and fear. But the North has long memories.
Jon Snow came for him, and in the dark of the keep, justice found Karl with a sword through the throat.",,
CH110,Karsi,Human,Not Available,Not Available,Not Available,Not Available,Two daughters,Dead,Not Available,Hardhome,Not Available,"A fierce wildling chieftess who chose peace for her people. She stood bravely against the dead at Hardhome, but mercy proved her undoing.",,
CH111,Karstark soldier,Human,House Karstark,Not Available,Not Available,Not Available,Not Available,Not Available,Sword,Winterfell,Not Available,"Banner-men of the North, yet blood runs hot in Karstark veins.
They followed Robb Stark to war, but broke faith when vengeance overcame reason.
Their swords slew prisoners, and their fate was sealed in betrayal.
Beheaded, outcast, hunted—no man who forgets the old laws survives the North.",,
CH112,Kevan Lannister,Human,House Lannister,"Tytos Lannister, Jeyne Marbrand","Tywin, Genna, Tygett, Gerion",Dorna Swyft,"Lancel, Willem, Martyn, Janei",Dead,Not Available,"Red Keep, King's Landing",Not Available,"Brother to Tywin, loyal to House Lannister's cause. A soldier and father, often overlooked, yet held the realm together longer than most. His end came in fire beneath the Sept.",,
CH113,Khal Drogo,Human,House Targaryen,Not Available,Not Available,Daenerys Targaryen,Rhaego (stillborn),Dead,Arakh,Lost at Sea,"Mago (Dothraki), Viserys Targaryen","The Great Stallion, undefeated in battle, a god of war in bronze and braid. Khal Drogo ruled over tens of thousands, and took no insult unavenged.
He wed Daenerys Targaryen in blood and smoke. She softened his rage; he forged her fire.
A poisoned wound felled him, but death could not keep him from myth.
He rode again in visions, in dragon dreams, and in the fire that birthed a queen.",,
CH114,Khal Moro,Human,Not Available,Mengo,Not Available,Multiple wives,Not Available,Dead,Not Available,"Dosh Khaleen Temple, Vaes Dothrak",Not Available,"A Dothraki warlord bound by blood and conquest. His rule was short-lived when Daenerys Targaryen turned fire upon the khals, claiming the Dothraki for herself.",,
CH115,King's Landing Citizen,Human,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,King's Landing,Not Available,"Caught in the tides of power, the common folk of King’s Landing dwell beneath the looming shadow of the Red Keep. Many perish nameless in the schemes of kings and queens, their blood soaking cobbled streets for causes they’ll never understand.",,
CH116,King's Landing Noble,Human,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,King's Landing,Not Available,"Silken robes, whispered betrayals, and perpetual fear define the life of a noble in the capital. Whether Lannister bannermen or schemers from minor houses, the court’s beauty conceals its venom.",,
CH117,Knight,Human,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Various,Not Available,"Sworn by oath, not always by honor. In Westeros, knighthood ranges from gallant defenders to brutal killers clad in steel. Some seek glory, others gold, but all bear the weight of a blade and a reputation to forge or break.",,
CH118,Knights of the Vale,Human,House Arryn,Not Available,Not Available,Not Available,Not Available,Not Available,"Sword, lance","Battle of the Bastards, Winterfell",Not Available,"High-born and high-proud, the knights of the Vale fought with polished armor and unwavering arrogance.
For years they stayed hidden in their mountains, watching the realm burn. But when they descended—led by Petyr Baelish and Sansa Stark—they swept the field at Winterfell like an avalanche.
They brought order back to chaos, steel back to the North, and re-wrote their place in history with a single, thundering charge.",,
CH119,Kraznys mo Nakloz,Human,House Nakloz,Not Available,Not Available,Not Available,Not Available,Dead,Not Available,Astapor,Not Available,"A Ghiscari slaver from Astapor, foul of tongue and cruel of spirit. He met poetic justice when Daenerys turned her Unsullied upon him, severing both his tongue and his legacy.",,
CH120,Lady,Human,House Stark,"Nymeria (mother), Not Available (father)","Grey Wind, Summer, Shaggydog, Ghost, Nymeria",None,None,Dead,Not Available,King's Landing,Not Available,"A direwolf of House Stark, bonded with Sansa. Graceful and gentle, Lady’s early death at the hands of House Lannister marked one of the first brutal lessons in the politics of power for the Stark children.",,
CH121,Lancel Lannister,Human,House Lannister,"Kevan Lannister, Dorna Swyft","Willem, Martyn, Janei",Amerei Frey (annulled),None,Dead,Not Available,"Red Keep, King's Landing",Not Available,"Nephew to Tywin Lannister and squire-turned-zealot. Once a pawn in Cersei’s bed and schemes, he found faith and fanaticism in the High Sparrow’s arms, only to die beneath the sept he helped empower.",,
CH122,Lannister soldier,Human,House Lannister,Not Available,Not Available,Not Available,Not Available,Not Available,Sword or spear,"Various Locations (including Riverrun, King's Landing)",Not Available,"Red cloaks and golden lions, the soldiers of House Lannister fought for coin, fear, and glory.
Trained, disciplined, and well-paid, they sacked cities, guarded kings, and slaughtered the innocent.
At the Blackwater, they held the line. At the Sept, they burned with it.
Many fell on foreign soil, never knowing if they fought for a legacy—or a lie.",,
CH123,Leaf,Human,Children of the Forest,Not Available,Not Available,Not Available,Not Available,Dead,Not Available,Cave of the Three-Eyed Raven,Not Available,"A Child of the Forest, timeless and mysterious. Born before men carved their first castles, she fought to protect the world from their darkness. Her magic birthed the Night King — a weapon turned curse.",,
CH124,Leech,Leech,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"One of three leeches used in Melisandre’s blood magic ritual upon Gendry, symbolizing the lives of usurpers. A creature of little size but great narrative consequence in the lore of shadowbinding.",,
CH125,Lem Lemoncloak,Human,Not Available,Not Available,Not Available,Not Available,Not Available,Dead,Axe or sword,Riverrun,Brother Ray,Outlaw and member of the Brotherhood Without Banners,,
CH126,Little Birds,Human,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Whispers,"Red Keep, King's Landing","Grand Maester Pycelle, Kevan Lannister","Children, broken and bought, spies wrapped in rags. Varys called them his Little Birds, whispering secrets no man should know.
They crept through castles and courts unseen, their tongues sharper than knives.
When Qyburn took the reins, they became something darker—silent agents of death, innocence wielded as weapon.
The realm was ruled as much by their whispers as by crowns.",,
CH127,Loboda,Human,Not Available,Not Available,Not Available,Not Available,Not Available,Dead,Not Available,Cave of the Three-Eyed Raven,Not Available,"A fierce Thenn warrior loyal to Tormund, clad in furs and wielding savagery as his shield. Though simple in speech, he fought with the clarity of purpose only a true free man knows.",,
CH128,Locke,Human,House Locke,Not Available,Not Available,Not Available,None,Dead,Torture tools,Craster's Keep,Not Available,"A hunter and a killer, Locke served Roose Bolton with quiet menace. He took Jaime Lannister’s hand and bled him of arrogance.
He tracked Bran Stark into the haunted woods, where his blades could not save him.
A warg turned his own body against him, and he died screaming—killed not by a man, but by a wolf’s soul.",,
CH129,Lommy Greenhands,Human,Not Available,Not Available,Not Available,Not Available,Not Available,Dead,Not Available,King's Landing outskirts,Not Available,"A peasant boy with a wit too quick and a leg too broken. Captured with Arya and Hot Pie, his end came abruptly at Polliver’s hand, his final plea mocked and unanswered.",,
CH130,Loras Tyrell,Human,House Tyrell,Lord Mace Tyrell and Lady Alerie Hightower,"Willas Tyrell, Garlan Tyrell, and Margaery Tyrell",Not Available,None,Dead,"Sword, lance","Sept of Baelor, King's Landing",Not Available,"The Knight of Flowers, skilled tourney knight",,
CH131,Lothar Frey,Human,House Frey,Lord Walder Frey and Lady Alyssa Blackwood,"Stevron Frey, Olyvar Frey, Roslin Tully",Not Available,Numerous (not specified),Dead,Sword,The Twins,Not Available,"Called “Lame Lothar” for his twisted leg, but it was his heart that was more deformed.
He orchestrated the Red Wedding with quill and poison, a butcher without a blade.
He smiled as he sent musicians to draw their bows and arrows. He drank wine as old men and young kings were slaughtered.
But the North remembers. And Arya Stark remembered most. His end came at a dinner table—face peeled, throat cut, justice served cold.",,
CH132,Lowell (King's Soldier),Human,Not Available,Not Available,Not Available,Not Available,Not Available,Dead,Not Available,Not Available,Not Available,"A low-ranking guard of King’s Landing, likely loyal to coin more than crown. Like many in the capital, his name is easily forgotten but his sword was real enough when drawn.",,
CH133,Lyanna Mormont,Human,House Mormont,Lady Maege Mormont,"Alysane, Jorelle, and Lyra Mormont​",Not Available,None,Dead,Sword,Winterfell,Giant White,The fierce young Lady of House Mormont from Bear Island.,,
CH134,Lysa Arryn,Human,House Tully,Lord Hoster Tully and Lady Minisa Whent,atelyn Stark and Edmure Tully,Not Available,Robin Arryn,Dead,Not Available,The Eyrie,Not Available,"Sister to Catelyn, wife to Jon Arryn, mother to a weak boy and madness.
She ruled the Eyrie with fear and folly, pouring milk of the poppy like wine and pushing rivals through the Moon Door with a trembling hand.
She loved Petyr Baelish more than reason, more than kin—and he loved no one.
He kissed her, then killed her, and the wind carried her screams down the mountain for days.",,
CH135,Mace Tyrell,Human,House Tyrell,Luthor Tyrell,Not Available,Alerie Hightower,"Loras Tyrell, Margaery Tyrell",Dead,Not Available,"Sept of Baelor, King's Landing",Not Available,"The bumbling Lord of Highgarden, puffed with pride and pomp but lacking cunning. Father to Margaery and Loras, he danced the politics of King’s Landing with grace only in music and none in war.",,
CH136,Maester Cressen,Human,Not Available,Not Available,Not Available,Not Available,Not Available,Dead,Not Available,Dragonstone,Himself,"Old, wise, and weary. Cressen served at Dragonstone, opposing Melisandre’s rising power. His final act — an attempted poisoning — became his epitaph, proving faith can kill as swiftly as betrayal.",,
CH137,Maester Luwin,Human,Not Available,Not Available,Not Available,Not Available,Not Available,Dead,Not Available,Winterfell,Not Available,"Faithful servant of House Stark, his wisdom shaped Winterfell’s young heirs. Even in defeat, he remained their guide, tending to the wounded and defending truth until his final breath.",,
CH138,Mag the Mighty giant,Giant,Giants,Not Available,Not Available,Not Available,Not Available,Dead,Not Available,"Tunnel beneath Castle Black, The Wall",Grenn,"Last of the great giants beyond the Wall, Mag led his kind through the Gate in a desperate alliance with the Night’s Watch. A towering symbol of ancient strength lost to the snows of time.",,
CH139,Mago,Human,Dothraki,Not Available,Not Available,Not Available,Not Available,Dead,Not Available,Dothraki Sea,Not Available,"A brutal Dothraki bloodrider, arrogant and cruel. Mago’s disdain for Daenerys and her reforms cost him his life — and some teeth — when Drogo took offense, and later when she hunted him anew.",,
CH140,Mance Rayder,Human,ex.Night's Watch,Not Available,Not Available,Dalla,Not Available,Dead,Not Available,Castle Black (Execution by Jon Snow),Not Available,"The King-Beyond-the-Wall, once of the Night’s Watch. Charismatic and cunning, Mance united the free folk in a doomed march toward freedom, dying by fire and mercy, depending on whom you ask.",,
CH141,Mandon Moore,Human,House Moore,Not Available,Not Available,Not Available,Not Available,Dead,Not Available,Blackwater Bay,Not Available,A silent Kingsguard knight whose loyalty was rumored to belong more to coin than king. His treachery during Blackwater Bay was cut short by Podrick Payne’s blade.,,
CH142,Manticore,Magical Beast,Manticore Species,Not Available,Not Available,Not Available,Not Available,Dead,Not Available,Qarth,Not Available,"A venomous creature of Essos, small in size but deadly beyond measure. One such beast nearly assassinated Daenerys — a reminder that even dragons must beware stings in silk.",,
CH143,Margaery Tyrell,Human,House Tyrell,"Mace Tyrell, Alerie Hightower",Loras Tyrell,"Renly Baratheon, Joffrey Baratheon, Tommen Baratheon",None,Dead,Not Available,"Sept of Baelor, King's Landing",Not Available,"Rose of Highgarden, queen thrice over, and a master of courtly influence. With charm as sharp as any blade, Margaery danced through the lions’ den until the sept exploded, cutting her tale short in flame and rubble.",,
CH144,Martyn Lannister,Human,House Lannister,Kevan Lannister,Lancel Lannister,None,None,Dead,Not Available,Riverrun,Not Available,"A boy born into gold and blood, Martyn was more ward than warrior. Taken prisoner by the Young Wolf, his fate was sealed by a Karstark blade, becoming another brick in the wall of vengeance.",,
CH145,Matthos Seaworth,Human,House Seaworth,Davos Seaworth,Not Available,Not Available,None,Dead,Not Available,Blackwater Bay,Not Available,"Son of the Onion Knight, devout and brave. Matthos followed Stannis with zeal but met the fury of wildfire at Blackwater, his hopes — and ship — splintering in the green inferno.",,
CH146,Meera Reed,Human,House Reed,Lord Howland Reed,Jojen Reed,Not Available,None,Alive,"Spear, small blades",Not Available,Not Available,"Daughter of Howland Reed, a warrior of the Neck with mud in her veins and fire in her heart.
She bore Bran Stark through snow, shadow, and sorrow, fighting wights and guiding visions.
She lost her brother, her youth, and her place in the world—but never her strength.
When her task was done, she returned home, a ghost of a girl who once saved a king.",,
CH147,Meereen citizen,Human,Not Available,Not Available,Not Available,Not Available,Not Available,Various,Not Available,Meereen,Not Available,"Cogs in a rusted empire, their lives were shaped by pyramids and chains. They watched their city burn, rise, and burn again under queen and tyrant alike — free, yet never truly safe.",,
CH148,Meereen slave,Human,Not Available,Not Available,Not Available,Not Available,Not Available,Various,Improvised weapons,Meereen,Not Available,"For generations, they toiled beneath whips and pyramids, nameless cogs in Meereen’s cruel machine.
When Daenerys came, they saw a silver-haired storm wielding dragons and justice.
They rose, some in hope, some in blood.
Freedom came not with ease, but in fire.
Some became rulers, others rebels. But none remained slaves.",,
CH149,Meereen slave master,Human,Not Available,Not Available,Not Available,Not Available,Not Available,Various,Not Available,Meereen,Not Available,"Rulers of ancient cruelty, they cloaked themselves in silk while thousands sweated beneath their whips. Daenerys brought their world crashing down, pyramid by pyramid, blood by blood.",,
CH150,Meereen slaves,Human,Not Available,Not Available,Not Available,Not Available,Not Available,Various,Improvised weapons,Meereen,Not Available,"For generations, they toiled beneath whips and pyramids, nameless cogs in Meereen’s cruel machine.
When Daenerys came, they saw a silver-haired storm wielding dragons and justice.
They rose, some in hope, some in blood.
Freedom came not with ease, but in fire.
Some became rulers, others rebels. But none remained slaves.",,
CH151,"Melisandre ""the Red Woman"" of Asshai",Human..,Not Applicable,Not Available,None,None,None,Dead,"Magic, shadow assassin, fire",Outside Winterfell,Renly Baratheon,"A priestess cloaked in flame, Melisandre walked with shadows and spoke in riddles.
She saw visions in fire and shaped kings with prophecy.
She burned children, summoned shadows, and raised the dead.
To some, she was a savior. To others, a curse.
But when the Long Night came, she walked into the dawn, spent and silent, her final prophecy fulfilled.",,
CH152,Member of the Thirteen,Human,Council of Thirteen,Not Available,Not Available,Not Available,Not Available,Various,Not Available,Meereen,Not Available,"Councilman of Qarth, veiled in opulence and suspicion. Each held influence over the greatest port in Essos, though their masks could not shield them from betrayal or dragons.",,
CH153,Mero,Human,Not Available,Not Available,Not Available,Not Available,Not Available,Dead,Not Available,Meereen,Not Available,"Called the Titan’s Bastard, he led the Second Sons with drink and depravity. His arrogance cost him command — and his head — when Daenerys found no room for scoundrels in her army.",,
CH154,Meryn Trant,Human,House Trant,Not Available,Not Available,Not Available,Not Available,Dead,Sword,Braavos,Syrio Forel,"A knight in name only, Meryn Trant served kings and beat girls. He struck Sansa Stark and murdered the innocent at Joffrey’s whim.
He sought pleasure in pain and power in silence.
When Arya Stark found him in Braavos, she made him see what blindness truly meant.
He died in darkness, stabbed again and again, until the blood silenced his screams.",,
CH155,Mirri Maz Duur,Human,Lhazareen,Not Available,Not Available,Not Available,Not Available,Dead,"Dark magic, poison",Vaes Dothrak,Drago,"A healer and a witch, Mirri Maz Duur bore knowledge both ancient and accursed.
She saved Drogo’s life by ending it, traded his soul for stillborn dragons.
She sang in tongues, cursed in riddles, and smiled as the world unraveled around her.
She taught Daenerys her first lesson in fire: that life comes only with sacrifice.",,
CH156,Missandei,Human,Naathi,Not Available,Grey Worm (symbolic),None,None,Dead,Not Available,King's Landing,Not Available,"Once a slave, always a voice of peace. From the slavers' block to Daenerys’s side, Missandei carried wisdom in every word — until her final word was the last thing Grey Worm ever heard her say.",,
CH157,Mormont Soldier,Human,House Mormont,Not Available,Not Available,Not Available,Not Available,Dead,Not Available,The Wall,Not Available,"One of Lady Maege Mormont’s kin, loyal to the North and bear-born. Their house fought with honor, even as its members dwindled like old embers in the long winter.",,
CH158,Mycah,Human,None,Butcher (father),None,None,None,Dead,Not Available,Riverlands,Not Available,"The butcher’s boy who dreamed of knighthood. Wrong place, wrong time — cut down by the Hound for a prince’s pride. His death was the first crack in Sansa’s fantasy and Arya’s innocence.",,
CH159,Myranda Royce,Human,House Royce,Yohn Royce,Not Available,None,None,Alive,Not Available,Winterfell,Not Available,"Lady of Runestone and cousin to the Vale. Sharp-tongued and observant, Myranda played the game of nobles from the periphery, always watching — never forgetting.",,
CH160,Myrcella,Human,House Baratheon,Jaime Lannister & Cersei Lannister,"Joffrey, Tommen",None,None,Dead,Not Available,Dorne,Not Available,"The golden girl of House Lannister, sweet and naïve. Sent to Dorne as a pawn for peace, she found love but lost her life to poison — a princess whose tragedy was quieter than most.",,
