Death_No.,Season,Episode,Character_ID,Victim_House,Character_Name,Victim,Victim_URL,Method,Location,Location_ID
289,4,3,CH246,Smallfolk,Thenn raider,Peasant,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Not Available,The Gift,LOC046
290,4,3,CH251,Smallfolk,Tormund,Peasant,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Sword,The Gift,LOC046
291,4,3,CH251,Smallfolk,Tormund,Peasant,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Sword,The Gift,LOC046
292,4,3,CH251,Smallfolk,Tormund,Peasant,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Sword,The Gift,LOC046
293,4,3,CH251,Smallfolk,Tormund,Peasant,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Sword,The Gift,LOC046
294,4,3,CH286,Smallfolk,Ygritte,Peasant,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Sword,The Gift,LOC046
295,4,3,CH043,None,Daario Naharis,Champion of Meereen's Horse,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Champion_Meereen_Horse.png,Knife,Meereen,LOC026
296,4,3,CH043,Great Masters,Daario Naharis,Champion of Meereen,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Champion_Meereen.png,Arakh,Meereen,LOC026
297,4,4,CH150,Great Masters,Meereen slaves,Meereen slave master,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Astapor_Slaver.png,Not Available,Meereen,LOC026
298,4,5,CH059,Night's Watch,Eddison Tollett,Night's Watch mutineer,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Night's_Watch_Brother.png,Sword,Beyond the Wall,LOC005
299,4,5,CH128,Night's Watch,Locke,Night's Watch mutineer,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Night's_Watch_Brother.png,Sword,Beyond the Wall,LOC005
300,4,5,CH128,Night's Watch,Locke,Night's Watch mutineer,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Night's_Watch_Brother.png,Sword,Beyond the Wall,LOC005
301,4,5,CH165,Night's Watch,Night's Watch mutineer,Night's Watch Brother,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Night's_Watch_Brother.png,Axe,Beyond the Wall,LOC005
302,4,5,CH165,Night's Watch,Night's Watch mutineer,Night's Watch Brother,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Night's_Watch_Brother.png,Sword,Beyond the Wall,LOC005
303,4,5,CH105,Night's Watch,Jon Snow,Night's Watch mutineer,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Night's_Watch_Brother.png,Sword,Beyond the Wall,LOC005
304,4,5,CH165,Night's Watch,Night's Watch mutineer,Night's Watch Brother,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Night's_Watch_Brother.png,Sword,Beyond the Wall,LOC005
305,4,5,CH105,Night's Watch,Jon Snow,Night's Watch mutineer,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Night's_Watch_Brother.png,Sword,Beyond the Wall,LOC005
306,4,5,CH059,Night's Watch,Eddison Tollett,Night's Watch mutineer,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Night's_Watch_Brother.png,Sword,Beyond the Wall,LOC005
307,4,5,CH105,Night's Watch,Jon Snow,Night's Watch mutineer,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Night's_Watch_Brother.png,Sword,Beyond the Wall,LOC005
308,4,5,CH089,House Bolton,Hodor,Locke,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Locke.png,Hands,Beyond the Wall,LOC005
309,4,5,CH105,Night's Watch,Jon Snow,Night's Watch mutineer,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Night's_Watch_Brother.png,Sword,Beyond the Wall,LOC005
310,4,5,CH109,Night's Watch,Karl Tanner,Night's Watch Brother,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Night's_Watch_Brother.png,Knife,Beyond the Wall,LOC005
311,4,5,CH105,Night's Watch,Jon Snow,Karl Tanner,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Karl_Tanner.png,Sword,Beyond the Wall,LOC005
312,4,5,CH078,Night's Watch,Grenn,Night's Watch mutineer,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Night's_Watch_Brother.png,Sword,Beyond the Wall,LOC005
313,4,5,CH067,Night's Watch,Ghost,Rast,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Rast.png,Teeth,Beyond the Wall,LOC005
314,4,6,CH285,House Bolton,Yara Greyjoy,Bolton soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Bolton_Soldier.png,Axe,Dreadfort,LOC012
315,4,6,CH081,House Bolton,Greyjoy Soldier,Bolton soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Bolton_Soldier.png,Knife,Dreadfort,LOC012
316,4,6,CH081,House Bolton,Greyjoy Soldier,Bolton soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Bolton_Soldier.png,Sword,Dreadfort,LOC012
317,4,6,CH194,House Greyjoy,Ramsay Bolton,Greyjoy Soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Greyjoy_Soldier.png,Knife,Dreadfort,LOC012
318,4,6,CH285,House Bolton,Yara Greyjoy,Bolton soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Bolton_Soldier.png,Axe,Dreadfort,LOC012
319,4,6,CH285,House Bolton,Yara Greyjoy,Bolton soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Bolton_Soldier.png,Axe,Dreadfort,LOC012
320,4,6,CH044,None,Daenerys Targaryen,Goat,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/goat.png,Dragonfire,Meereen,LOC026
321,4,7,CH077,None,Gregor Clegane,Prisoner,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Sword,King's Landing,LOC021
322,4,7,CH077,None,Gregor Clegane,Prisoner,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Sword,King's Landing,LOC021
323,4,7,CH077,None,Gregor Clegane,Prisoner,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Sword,King's Landing,LOC021
324,4,7,CH215,Smallfolk,Sandor Clegane,Peasant,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Knife,Riverlands,LOC035
325,4,7,CH215,None,Sandor Clegane,Biter,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Biter.png,Hands,Riverlands,LOC035
326,4,7,CH008,None,Arya Stark,Rorge,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Rorge.png,Sword,Riverlands,LOC035
327,4,7,CH181,House Baelish,Petyr Baelish,Lysa Arryn,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lysa_Arryn.png,Moon Door,The Eyrie,LOC044
328,4,8,CH246,Smallfolk,Thenn raider,Peasant,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Knife,Mole's Town,LOC028
329,4,8,CH251,Smallfolk,Tormund,Peasant,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Sword,Mole's Town,LOC028
330,4,8,CH286,Smallfolk,Ygritte,Peasant,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Spear,Mole's Town,LOC028
331,4,8,CH286,Smallfolk,Ygritte,Peasant,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Spear,Mole's Town,LOC028
332,4,8,CH235,Smallfolk,Styr,Peasant,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Axe,Mole's Town,LOC028
333,4,8,CH235,Smallfolk,Styr,Peasant,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Axe,Mole's Town,LOC028
334,4,8,CH251,Smallfolk,Tormund,Peasant,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Sword,Mole's Town,LOC028
335,4,8,CH251,Smallfolk,Tormund,Peasant,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Sword,Mole's Town,LOC028
336,4,8,CH286,Smallfolk,Ygritte,Peasant,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Spear,Mole's Town,LOC028
337,4,8,CH286,Smallfolk,Ygritte,Peasant,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Knife,Mole's Town,LOC028
338,4,8,CH081,House Greyjoy,Greyjoy Soldier,Ralf Kenning,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Axe,Moat Cailin,LOC027
339,4,8,CH077,House Martell,Gregor Clegane,Oberyn Martell,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Oberyn_Martell.png,Hands,King's Landing,LOC021
340,4,9,CH164,Free Folk,Night's Watch Brother,Wildling,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Wildling.png,Flaming arrow,Castle Black,LOC009
341,4,9,CH164,Free Folk,Night's Watch Brother,Wildling,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Wildling.png,Flaming arrow,Castle Black,LOC009
342,4,9,CH286,Night's Watch,Ygritte,Night's Watch Brother,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Night's_Watch_Brother.png,Flaming arrow,Castle Black,LOC009
343,4,9,CH164,Free Folk,Night's Watch Brother,Wildling,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Wildling.png,Flaming arrow,Beyond the Wall,LOC005
344,4,9,CH164,Free Folk,Night's Watch Brother,Wildling,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Wildling.png,Flaming arrow,Beyond the Wall,LOC005
345,4,9,CH164,Free Folk,Night's Watch Brother,Wildling,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Wildling.png,Flaming arrow,Beyond the Wall,LOC005
346,4,9,CH164,Free Folk,Night's Watch Brother,Wildling,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Wildling.png,Flaming arrow,Beyond the Wall,LOC005
347,4,9,CH286,Night's Watch,Ygritte,Night's Watch Brother,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Night's_Watch_Brother.png,Flaming arrow,Castle Black,LOC009
348,4,9,CH286,Night's Watch,Ygritte,Night's Watch Brother,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Night's_Watch_Brother.png,Flaming arrow,Castle Black,LOC009
349,4,9,CH278,Night's Watch,Wildling,Night's Watch Brother,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Night's_Watch_Brother.png,Arrow,Castle Black,LOC009
350,4,9,CH278,Night's Watch,Wildling,Night's Watch Brother,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Night's_Watch_Brother.png,Arrow,Castle Black,LOC009
351,4,9,CH003,Free Folk,Alliser Thorne,Wildling,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Wildling.png,Sword,Castle Black,LOC009
352,4,9,CH246,Night's Watch,Thenn raider,Night's Watch Brother,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Night's_Watch_Brother.png,Sword,Castle Black,LOC009
353,4,9,CH003,Free Folk,Alliser Thorne,Thenn raider,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Thenn_Raider.png,Sword,Castle Black,LOC009
354,4,9,CH251,Night's Watch,Tormund,Night's Watch Brother,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Night's_Watch_Brother.png,Axe,Castle Black,LOC009
355,4,9,CH251,Night's Watch,Tormund,Night's Watch Brother,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Night's_Watch_Brother.png,Axe,Castle Black,LOC009
356,4,9,CH164,Free Folk,Night's Watch Brother,Wildling,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Wildling.png,Flaming arrow,Castle Black,LOC009
357,4,9,CH164,Free Folk,Night's Watch Brother,Wildling,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Wildling.png,Flaming arrow,Castle Black,LOC009
358,4,9,CH164,Free Folk,Night's Watch Brother,Wildling,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Wildling.png,Flaming arrow,Castle Black,LOC009
359,4,9,CH164,Free Folk,Night's Watch Brother,Wildling,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Wildling.png,Flaming arrow,Castle Black,LOC009
360,4,9,CH164,Free Folk,Night's Watch Brother,Wildling,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Wildling.png,Flaming arrow,Castle Black,LOC009
361,4,9,CH280,Night's Watch,Wildling giant,Night's Watch Brother,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Night's_Watch_Brother.png,Giant arrow,The Wall,LOC056
362,4,9,CH246,Night's Watch,Thenn raider,Night's Watch Brother,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Night's_Watch_Brother.png,Axe,Castle Black,LOC009
363,4,9,CH278,Night's Watch,Wildling,Night's Watch Brother,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Night's_Watch_Brother.png,Nail,Castle Black,LOC009
364,4,9,CH164,Free Folk,Night's Watch Brother,Wildling,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Wildling.png,Arrow,Castle Black,LOC009
365,4,9,CH278,Night's Watch,Wildling,Night's Watch Brother,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Night's_Watch_Brother.png,Knife,Castle Black,LOC009
366,4,9,CH235,Night's Watch,Styr,Night's Watch Brother,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Night's_Watch_Brother.png,Axe,Castle Black,LOC009
367,4,9,CH235,Night's Watch,Styr,Night's Watch Brother,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Night's_Watch_Brother.png,Axe,Castle Black,LOC009
368,4,9,CH235,Night's Watch,Styr,Night's Watch Brother,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Night's_Watch_Brother.png,Axe,Castle Black,LOC009
369,4,9,CH286,Night's Watch,Ygritte,Night's Watch Brother,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Night's_Watch_Brother.png,Arrow,Castle Black,LOC009
370,4,9,CH286,Night's Watch,Ygritte,Night's Watch Brother,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Night's_Watch_Brother.png,Arrow,Castle Black,LOC009
371,4,9,CH286,Night's Watch,Ygritte,Night's Watch Brother,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Night's_Watch_Brother.png,Arrow,Castle Black,LOC009
372,4,9,CH164,Free Folk,Night's Watch Brother,Wildling,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Wildling.png,Axe,Castle Black,LOC009
373,4,9,CH164,Free Folk,Night's Watch Brother,Wildling,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Wildling.png,Pot,Castle Black,LOC009
374,4,9,CH164,Free Folk,Night's Watch Brother,Wildling,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Wildling.png,Butcher's knife,Castle Black,LOC009
375,4,9,CH278,Night's Watch,Wildling,Night's Watch Brother,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Night's_Watch_Brother.png,Axe,Castle Black,LOC009
376,4,9,CH188,Free Folk,Pypar,Wildling,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Wildling.png,Arrow,Castle Black,LOC009
377,4,9,CH286,Night's Watch,Ygritte,Pypar,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Pypar.png,Arrow,Castle Black,LOC009
378,4,9,CH164,Free Folk,Night's Watch Brother,Wildling,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Wildling.png,Barrel,Beyond the Wall,LOC005
379,4,9,CH164,Free Folk,Night's Watch Brother,Wildling,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Wildling.png,Barrel,Beyond the Wall,LOC005
380,4,9,CH164,Free Folk,Night's Watch Brother,Wildling,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Wildling.png,Barrel,Beyond the Wall,LOC005
381,4,9,CH164,Free Folk,Night's Watch Brother,Wildling,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Wildling.png,Barrel,Beyond the Wall,LOC005
382,4,9,CH164,Free Folk,Night's Watch Brother,Wildling,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Wildling.png,Barrel,Beyond the Wall,LOC005
383,4,9,CH164,Free Folk,Night's Watch Brother,Wildling,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Wildling.png,Barrel,Beyond the Wall,LOC005
384,4,9,CH164,Free Folk,Night's Watch Brother,Wildling,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Wildling.png,Barrel,Beyond the Wall,LOC005
385,4,9,CH003,Free Folk,Alliser Thorne,Wildling,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Wildling.png,Sword,Castle Black,LOC009
386,4,9,CH251,Night's Watch,Tormund,Night's Watch Brother,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Night's_Watch_Brother.png,Axe,Castle Black,LOC009
387,4,9,CH214,Free Folk,Sam Tarly,Thenn raider,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Thenn_Raider.png,Arrow,Castle Black,LOC009
388,4,9,CH164,Free Folk,Night's Watch Brother,Wildling,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Wildling.png,Burning oil,Beyond the Wall,LOC005
389,4,9,CH164,Free Folk,Night's Watch Brother,Wildling,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Wildling.png,Burning oil,Beyond the Wall,LOC005
390,4,9,CH164,Free Folk,Night's Watch Brother,Wildling,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Wildling.png,Burning oil,Beyond the Wall,LOC005
391,4,9,CH164,Free Folk,Night's Watch Brother,Wildling,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Wildling.png,Burning oil,Beyond the Wall,LOC005
392,4,9,CH164,Free Folk,Night's Watch Brother,Wildling,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Wildling.png,Burning oil,Beyond the Wall,LOC005
393,4,9,CH164,Free Folk,Night's Watch Brother,Wildling,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Wildling.png,Burning oil,Beyond the Wall,LOC005
394,4,9,CH164,Free Folk,Night's Watch Brother,Wildling,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Wildling.png,Burning oil,Beyond the Wall,LOC005
395,4,9,CH069,Free Folk,Giant mammoth,Wildling,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Wildling.png,Mammoth foot,Beyond the Wall,LOC005
396,4,9,CH164,Free Folk,Night's Watch Brother,Giant wildling,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Giant_Wildling.png,Giant arrow,Beyond the Wall,LOC005
397,4,9,CH167,Night's Watch,None,Night's Watch Brother,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Night's_Watch_Brother.png,Burning oil,The Wall,LOC056
398,4,9,CH278,Night's Watch,Wildling,Night's Watch Brother,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Night's_Watch_Brother.png,Flaming arrow,The Wall,LOC056
399,4,9,CH280,Night's Watch,Wildling giant,Grenn,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Grenn.png,Not Available,Castle Black,LOC009
400,4,9,CH078,Free Folk,Grenn,Mag the Mighty giant,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Mag_the_Mighty_Giant.png,Not Available,Castle Black,LOC009
401,4,9,CH105,Free Folk,Jon Snow,Wildling,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Wildling.png,Sword,Castle Black,LOC009
402,4,9,CH105,Free Folk,Jon Snow,Wildling,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Wildling.png,Sword,Castle Black,LOC009
403,4,9,CH105,Free Folk,Jon Snow,Wildling,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Wildling.png,Sword,Castle Black,LOC009
404,4,9,CH235,Night's Watch,Styr,Night's Watch Brother,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Night's_Watch_Brother.png,Axe,Castle Black,LOC009
405,4,9,CH251,Night's Watch,Tormund,Night's Watch Brother,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Night's_Watch_Brother.png,Sword,Castle Black,LOC009
406,4,9,CH251,Night's Watch,Tormund,Night's Watch Brother,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Night's_Watch_Brother.png,Sword,Castle Black,LOC009
407,4,9,CH105,Free Folk,Jon Snow,Wildling,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Wildling.png,Sword,Castle Black,LOC009
408,4,9,CH067,Free Folk,Ghost,Thenn raider,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Thenn_Raider.png,Teeth,Castle Black,LOC009
409,4,9,CH105,Free Folk,Jon Snow,Wildling,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Wildling.png,Sword,Castle Black,LOC009
410,4,9,CH251,Night's Watch,Tormund,Night's Watch Brother,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Night's_Watch_Brother.png,Sword,Castle Black,LOC009
411,4,9,CH251,Night's Watch,Tormund,Night's Watch Brother,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Night's_Watch_Brother.png,Sword,Castle Black,LOC009
412,4,9,CH235,Night's Watch,Styr,Night's Watch Brother,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Night's_Watch_Brother.png,Axe,Castle Black,LOC009
413,4,9,CH105,Free Folk,Jon Snow,Wildling,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Wildling.png,Sword,Castle Black,LOC009
414,4,9,CH105,Free Folk,Jon Snow,Styr,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Styr.png,Hammer,Castle Black,LOC009
415,4,9,CH172,Free Folk,Olly,Ygritte,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Yngritt.png,Arrow,Castle Black,LOC009
416,4,9,CH278,Night's Watch,Wildling,Night's Watch Brother,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Night's_Watch_Brother.png,Sword,Castle Black,LOC009
417,4,9,CH164,Free Folk,Night's Watch Brother,Wildling,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Wildling.png,Scythe,The Wall,LOC056
418,4,9,CH164,Free Folk,Night's Watch Brother,Wildling,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Wildling.png,Scythe,The Wall,LOC056
419,4,9,CH164,Free Folk,Night's Watch Brother,Wildling,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Wildling.png,Scythe,The Wall,LOC056
420,4,9,CH164,Free Folk,Night's Watch Brother,Wildling,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Wildling.png,Scythe,The Wall,LOC056
421,4,9,CH164,Free Folk,Night's Watch Brother,Wildling,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Wildling.png,Scythe,The Wall,LOC056
422,4,9,CH164,Free Folk,Night's Watch Brother,Wildling,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Wildling.png,Scythe,The Wall,LOC056
423,4,9,CH164,Free Folk,Night's Watch Brother,Wildling,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Wildling.png,Scythe,The Wall,LOC056
424,4,9,CH164,Free Folk,Night's Watch Brother,Wildling,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Wildling.png,Scythe,The Wall,LOC056
425,4,9,CH164,Free Folk,Night's Watch Brother,Wildling,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Wildling.png,Scythe,The Wall,LOC056
426,4,10,CH015,Free Folk,Baratheon of Dragonstone soldier,Wildling,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Wildling.png,Spear,Beyond the Wall,LOC005
427,4,10,CH015,Free Folk,Baratheon of Dragonstone soldier,Wildling,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Wildling.png,Axe,Beyond the Wall,LOC005
