Location,Location_ID,X_Coordinate,Y_Coordinate,Description,Location_URL
The Wall,LOC056,1331.3,3604,"A colossal monument of ice and magic, the Wall stands as the last defense between the realms of men and the wild terrors of the far north. Raised eight thousand years ago by Brandon the Builder, it stretches 700 feet high and 300 miles long. Manned by the Night’s Watch, a sworn brotherhood of exiles and warriors, the Wall has seen generations of uneasy peace, until the return of the White Walkers turned its legend into reality. From Castle Black to Eastwatch-by-the-Sea, the Wall is a frozen sentinel over forgotten nightmares.",https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/location/The_Wall.png
Torrhen’s Square,LOC057,941.7,3087,"Torrhen’s Square stands sturdy in the cold heart of the North, a stout keep of stone and strength near the shores of the White Knife. Seat of House Tallhart, it guards the land with quiet vigilance, its walls weathered by wind and war. Though not grand, it is resolute—a bastion of loyalty in a realm of harsh truths. Named for the last king who knelt, its legacy is one of fealty, not fire. But in the North, even small fires burn long, and Torrhen’s Square endures like the winter it was built to face.",https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/location/Unknown.png
Tower of Joy,LOC058,928,1566.7,"The Tower of Joy rose pale and lonely in the red mountains of Dorne, a silent witness to the end of a rebellion and the birth of a secret. Once a place of dreams, it became a tomb, where dawn met dusk in the clash of sworn brothers. Here, Ser Arthur Dayne stood like a legend, and here, Eddard Stark’s honor was tested in blood. What happened within its shadow reshaped the realm, though only whispers remain. The tower is gone now, stones scattered to time—but its truth still echoes, carried by those who remember.",https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/location/Tower_of_Joy.png
Tyrosh,LOC059,1782,1728.5,"Renowned for its dyed beards, opulent textiles, and political intrigue, Tyrosh is a city of silk and subterfuge. It is ruled by archons and merchant princes, its wealth born from controlling the sea-lanes of the Narrow Sea. Wars among the Free Cities have stained its streets many times, yet Tyrosh endures—gaudy, decadent, and deadly. The city’s loyalty is always for sale, but its pride is priceless.",https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/location/Not_known.png
Not Available,LOC060,3000,1500,"The lands deemed ""Not Available"" are the shadowed edges of maps and the whispers in campfire tales. They represent the forgotten, the unexplored, and the erased. Be they distant shores, cursed ruins, or lands lost to time, these regions are as vast in rumor as they are in mystery. Some say dragons still sleep there. Others speak of entire civilizations turned to ash. In a world of shifting alliances and ancient power, ""Not Available"" is not absence—but potential.",https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/location/Not_Available.png
Vaes Dothrak,LOC061,4135.6,2266,"Nestled beneath the Mother of Mountains, Vaes Dothrak is the only city of the Dothraki, the fierce horse-lords of the Great Grass Sea. No walls surround it, for the Dothraki fear no invaders. Statues of the gods of conquered peoples line its entrance, a silent testament to the khalasars' victories. The city serves as sacred ground, where blood must not be spilled and the Dosh Khaleen—wise widows of fallen khals—hold prophecy and power. Here, fire burns, old customs bind, and destinies are shaped in shadow and flame.",https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/location/Not_known.png
Valyria,LOC062,2817.4,970,"Once the heart of a vast empire, Valyria is now a haunted ruin swallowed by cataclysm. Its smoking seas and twisted remnants are all that remain of the Doom, a disaster that shattered the greatest civilization ever known. Home to dragonlords and sorcery, Valyria crafted blades of legend and built cities that touched the sky. Now, only whispers remain—of demons, fire-wracked ruins, and the few families, like House Targaryen, who escaped its fall. Valyria is a graveyard of gods, a cradle of nightmares, and a warning to those who would play with power unchecked.",https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/location/Not_known.png
Volantis,LOC063,2500.6,1450,"Volantis, oldest of the Free Cities, sprawls along the mouth of the Rhoyne like a fading empire refusing to fall. Divided by the Black Wall and the Long Bridge, it is a city of contrasts—grandeur and grime, nobility and chains. The Old Blood rule with ancient pride, their Valyrian heritage worn like armor, while slaves flood the streets beneath their gaze. Fiery priests preach in its plazas, crying out for rebirth in the name of R’hllor. Yet for all its glory, Volantis teeters on the edge, clinging to the past while the future burns just beyond its reach.",https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/location/Volantis.png
Winterfell,LOC064,1106.8,3187,"Set in the heart of the cold North, Winterfell is the ancient stronghold of House Stark. Built by Brandon the Builder after the Long Night, its halls echo with the creeds of honor, family, and resilience. Beneath it lie crypts stretching into darkness, where the kings of winter sleep with swords in stone. Winterfell has burned and bled, changed hands and stood firm. It is not merely a castle but a symbol—a beacon in the snow that winter may come, but the North remembers.",https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/location/Winterfell.png
Yunkai,LOC065,3431.7,1544,"Yunkai, the Yellow City, sits upon the southern coast of Slaver’s Bay, wrapped in the golden sands of ancient decadence. Smaller than Meereen and less martial than Astapor, Yunkai thrives on trade and subjugation. Its walls are strong, but its spirit is sluggish, dulled by the luxury of masters and the suffering of slaves. When Daenerys Targaryen came with fire and liberation, the city's foundations trembled. Though freed, Yunkai’s chains were not so easily cast aside, and its future remains a battleground between old ways and reborn ideals.",https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/location/Yunkai.png
